TestCase,Array Size,Iterations,Swaps,Time (in nanoseconds),BubbleSort iterations,BubbleSort swaps
1,100,1201,265,41420,4950,2477
2,200,2965,592,83923,19900,9666
3,300,5038,995,140002,44850,20750
4,400,7106,1318,197699,79800,36828
5,500,9370,1786,113863,124750,61039
6,600,11840,2208,128748,179700,88627
7,700,13812,2624,170306,244650,117567
8,800,16576,3101,169084,319600,158104
9,900,18647,3456,179431,404550,204421
10,1000,20711,3982,202056,499500,247213
11,1100,23874,4363,253225,604450,308198
12,1200,28434,4808,271431,719400,365271
13,1300,28211,5297,279231,844350,413487
14,1400,33184,5890,322868,979300,506937
15,1500,34052,5951,327926,1124250,555038
16,1600,39519,6512,349702,1279200,640140
17,1700,40287,6910,378726,1444150,713737
18,1800,44450,7735,413394,1619100,812287
19,1900,46918,7818,464413,1804050,911301
20,2000,49380,8352,463636,1999000,1003438
21,2100,51848,8761,866963,2203950,1118183
22,2200,54317,9121,748893,2418900,1217265
23,2300,56787,9654,254279,2643850,1324210
24,2400,59236,9694,267524,2878800,1399890
25,2500,61725,10365,205899,3123750,1550933
26,2600,69379,10968,274778,3378700,1665879
27,2700,72060,11139,288979,3643650,1830903
28,2800,77511,12474,227735,3918600,1955883
29,2900,77381,12268,176253,4203550,2141077
30,3000,92051,12624,235381,4498500,2175897
31,3100,85829,13200,229852,4803450,2344171
32,3200,85384,13423,235145,5118400,2564596
33,3300,84753,13869,234382,5443350,2699870
34,3400,87323,14539,242368,5778300,2937628
35,3500,96893,14810,244539,6123250,3089521
36,3600,106839,16073,260314,6478200,3266715
37,3700,113522,16482,235048,6843150,3347558
38,3800,101389,15992,222518,7218100,3581500
39,3900,115753,16759,280245,7603050,3811132
40,4000,106723,17180,232858,7998000,4051987
41,4100,109385,17063,234150,8402950,4181182
42,4200,112056,17924,237783,8817900,4325043
43,4300,114728,17992,246653,9242850,4536138
44,4400,126187,18780,259821,9677800,4947099
45,4500,124554,19045,277240,10122750,5010431
46,4600,136509,19700,282706,10577700,5341321
47,4700,144187,21210,420690,11042650,5461522
48,4800,147256,21428,306714,11517600,5784778
49,4900,145412,21109,300451,12002550,6059115
50,5000,143382,21506,298758,12497500,6311759
51,5100,146262,21960,303093,13002450,6472341
52,5200,159520,22559,320817,13517400,6776252
53,5300,146685,22597,321363,14042350,7005053
54,5400,154859,22810,394555,14577300,7309103
55,5500,152223,23121,386724,15122250,7551479
56,5600,154994,23739,327437,15677200,7846564
57,5700,163460,24374,329789,16242150,8147903
58,5800,172112,24978,339734,16817100,8500449
59,5900,186896,25020,356460,17402050,8693767
60,6000,172053,25761,356860,17997000,8984918
61,6100,187117,26958,380843,18601950,9344999
62,6200,190187,27203,474798,19216900,9661060
63,6300,186961,27415,405024,19841850,9896287
64,6400,183520,27468,467559,20476800,10197286
65,6500,186383,27881,538109,21121750,10618771
66,6600,189264,28725,481069,21776700,10863061
67,6700,198825,28962,529282,22441650,11081049
68,6800,201796,29365,416936,23116600,11529947
69,6900,197853,29451,396759,23801550,12070528
70,7000,200723,29635,446009,24496500,12307928
71,7100,203595,30612,433484,25201450,12640728
72,7200,206460,30685,533401,25916400,12832387
73,7300,209332,31227,428489,26641350,13277241
74,7400,226985,31948,534508,27376300,13760154
75,7500,230049,32229,566199,28121250,14116168
76,7600,233118,32801,599388,28876200,14268627
77,7700,236188,33641,596310,29641150,14889394
78,7800,231453,33895,482861,30416100,15455506
79,7900,250223,34776,499868,31201050,15754844
80,8000,245386,35470,492890,31996000,16091030
81,8100,248461,35603,495182,32800950,16214272
82,8200,276127,35758,507953,33615900,16604957
83,8300,246301,35858,493525,34440850,17105983
84,8400,266057,35713,505443,35275800,17363384
85,8500,252225,36935,501955,36120750,18261452
86,8600,255192,37130,502539,36975700,18451148
87,8700,258154,37894,517024,37840650,18861184
88,8800,278730,38164,533078,38715600,19466645
89,8900,264086,38068,597798,39600550,19635174
90,9000,276056,38823,516969,40495500,20146958
91,9100,270023,39244,562306,41400450,20898762
92,9200,282195,39799,564540,42315400,20900432
93,9300,275962,40010,546197,43240350,21527862
94,9400,278928,40389,542712,44175300,22187793
95,9500,281898,40937,585790,45120250,22518154
96,9600,313656,41407,583941,46075200,22976845
97,9700,307225,42642,587775,47040150,23397770
98,9800,310381,42005,602078,48015100,24022004
99,9900,303660,43041,599018,49000050,24625694
100,10000,306736,43069,670205,49995000,24970974
